name,phone,location,service_type,capacity,num_inspections,distance_to_central_park,coordinates
Core Education & Fine Arts - Kingsway,(604) 568-8808,"4021 Kingsway Burnaby, V5H 1Y9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",100,5,0.63,"49.2330789, -123.015554"
Reach for the Stars Montessori,(604) 688-7827,"3440 Boundary Rd Burnaby, V5M 4A5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",45,5,0.66,"49.2324639, -123.0233913"
Sir Andrew's MRT Childcare - Boundary Centre,(604) 437-6942,"3410 Boundary Rd Burnaby, V5G 4A5",302 Group Child Care (30 months to school age),25,6,0.66,"49.2324639, -123.0233913"
Kingsway Christian Children's Centre,(604) 437-3393,"4061 Kingsway Burnaby, V5H 1Y9",302 Group Day Care >30 mos,25,4,0.66,"49.2330793, -123.0143007"
In-Joy Montessori Children's Centre,(778) 688-4585,"6808 Beresford St Burnaby, V5E 4M6",302 Group Day Care >30 mos,25,7,1.15,"49.224932, -123.0027669"
Jellybean Park Junior Campus,(604) 431-8850,"2110 - 4700 Kingsway Burnaby, V5H 4M1",302 Group Day Care >30 mos,75,4,1.3,"49.2248006, -123.0005878"
Metrotown YMCA Child Care,(604)  43-9618,"489 - 4800 Kingsway Burnaby, V5H 4J2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",37,4,1.34,"49.2249256, -122.9999696"
Jellybean Park International Campus,(604) 439-3390,"452 - 4800 Kingsway Burnaby, V5H 4M1",303 Preschool,19,4,1.34,"49.2249256, -122.9999696"
McKercher Occasional Care Centre,(604) 419-6909,"6140 McKercher Ave Burnaby, V5H 4W4",308 Occasional Child Care,16,4,1.47,"49.2283658, -122.9977036"
Fair Haven Children's Centre (Burnaby),(604) 437-0171,"4375 Rumble St Burnaby, V5J 2A2","302 Group Day Care >30 mos, 301 Group Day Care <36 mos",37,7,1.49,"49.2147967, -123.0237948"
Burnaby South Child Care Centre,(604) 257-4465,"5455 Rumble St Burnaby, V5J 2B7","301 Group Day Care <36 mos, 310 Multi-Age Child Care",24,8,1.49,"49.2147967, -123.0237948"
Burnaby Rainbow Preschool Association,(604) 439-0033,"4781 Parkwood Ave Burnaby, V5G 3C6",303 Preschool (30 months to school age),20,5,1.61,"49.2413636, -123.0108265"
Hillview Parent Participation Preschool,(604) 431-0119,"8 - 4340 Carson St Burnaby, V5J 2X9",303 Preschool,18,5,1.9,"49.2108487, -123.0130848"
Advantage Preschool,(604) 435-1263,"Room 7 - 4340 Carson St Burnaby, V5J 2X9",303 Preschool,20,5,1.9,"49.2108487, -123.0130848"
Marlborough Neighbourhood Care,(604) 434-1338,"6060 Marlborough Ave Burnaby, V5H 3L7","305 Out of School Care, 303 Preschool (30 months to school age)",43,4,1.95,"49.22889175, -122.991148080512"
Burnaby French Language Preschool,(604) 432-1323,"6060 Marlborough Ave Burnaby, V5H 3L7",303 Preschool,15,5,1.95,"49.22889175, -122.991148080512"
Nelson Avenue Daycare,(604) 439-9263,"5825 Nelson Ave Burnaby, V5H 3H6","305 Group Child Care (School Age), 302 Group Day Care >30 mos",65,8,1.99,"49.2189419, -122.9940527"
Bee House Montessori Day Care I,(604) 433-9769,"7283 Nelson Ave Burnaby, V5J 4C2","302 Group Day Care >30 mos, 305 Group Child Care (School Age)",45,6,2.06,"49.2174655, -122.994342048772"
Absorbent Minds Montessori Ltd.,(604) 433-2144,"7283 Nelson Ave Burnaby, V5J 4C2",303 Preschool (30 months to school age),20,5,2.06,"49.2174655, -122.994342048772"
Little Blossom Daycare,(604) 433-5155,"7283 Nelson Ave Burnaby, V5J 4C2",302 Group Child Care (30 months to school age),20,3,2.06,"49.2174655, -122.994342048772"
